25,&gt;24h,5258,0,&gt;24h,4635,0
24,&gt;24h,5329,0,&gt;24h,5296,0
23,&gt;24h,5936,0,&gt;24h,5644,0
22,&gt;24h,6705,0,&gt;24h,5313,0
21,&gt;24h,6887,0,&gt;24h,6545,0
20,&gt;24h,7482,0,&gt;24h,7205,0
19,&gt;24h,7763,0,&gt;24h,6630,0
18,&gt;24h,7614,0,&gt;24h,7569,0
17,&gt;24h,7060,0,&gt;24h,6921,0
16,&gt;24h,8142,0,&gt;24h,7921,0
15,&gt;24h,7950,0,&gt;24h,7896,0
14,&gt;24h,7484,0,&gt;24h,7207,0
13,&gt;24h,7524,0,&gt;24h,7220,0
12,&gt;24h,8729,0,&gt;24h,8619,0
11,&gt;24h,6340,0,&gt;24h,5994,0
10,&gt;24h,9945,0,&gt;24h,9791,0
9,&gt;24h,10941,0,&gt;24h,9306,0
8,&gt;24h,11812,0,&gt;24h,11606,0
7,&gt;24h,13463,0,&gt;24h,12121,0
6,&gt;24h,15485,0,&gt;24h,15003,0
5,&gt;24h,15167,0,&gt;24h,14489,0
4,&gt;24h,16375,0,&gt;24h,15493,0
3,&gt;24h,20406,0,&gt;24h,18224,0
2,&gt;24h,21863,0,&gt;24h,19526,0
1,&gt;24h,23478,0,&gt;24h,21786,0
